StateWellNumber,Aquifer,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Ag_indicator,LU_Code1
743401,Dockum,35.2944444,-102.7338889,1.4,Clay loam,230,1,2,3,853,1120,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,449.0299988,13.72999954,1,82
743605,Dockum,35.291945,-102.656945,1.4,Silty clay loam,200,1,2,3,853,1128,1433,20,38.09999847,52,18,36.90000153,40,0.050000001,0.100000001,0.300000012,4,9,14,0.07,0.100000001,0.119999997,30,36,44,22,41,47,3,20,26,0.24,0.24,0,1,2,7.900000095,8.399999619,9,449.696991,13.67999935,0,71
747401,Dockum,35.298889,-102.248889,1,Clay loam,280,0,0.5,1,853,1059,1265,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,467.3919983,13.93999958,0,52
750702,Dockum,35.1475,-102.865834,0.756666667,Sandy clay loam,420,3,4,5,670,1085,1158,10,29.20000076,60,20,37.40000153,40,0.25,0.430000007,0.5,4,9,14,0.119999997,0.150000006,0.159999996,34,44,45,31,46,46,12,23,24,0.32,0.32,0,1,2,7.900000095,8.5,9,452.4899902,13.72999954,0,71
752615,Dockum,35.166944,-102.516112,2.7,Clay loam,900,0,0.400000006,1,975,1189,1402,20,23.60000038,30,27,32.20000076,40,2,2.5,3,1.399999976,2.700000048,4,0.159999996,0.189999998,0.200000003,46,53,54,41,47,56,19,23,28,0.37,0.37,0,2.599999905,3,6.599999905,7.300000191,8.399999619,467.8239746,13.53999996,0,21
752902,Dockum,35.127778,-102.502223,4.47,Sandy clay loam,872,0,0.5,1,853,1128,1524,25,40.20000076,65,22,39.5,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.150000006,0.170000002,34,39,44,32,44,59,15,21,36,0.2,0.2,0,1,2,7.900000095,8.300000191,9,470.0029907,13.63000011,1,82
764822,Dockum,35.0297222,-102.045,2.234857143,Sandy clay loam,579,3,4,5,670,1085,1158,25,49.59999847,70,18,29.60000038,35,0.100000001,0.200000003,0.5,4,9,14,0.079999998,0.119999997,0.170000002,34,39,43,26,36,41,9,16,18,0.28,0.28,1,3.099999905,5,7.900000095,8.199999809,9,480.1409912,14.17000008,0,52
764823,Dockum,35.03,-102.051945,2.403375,Clay loam,614,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,480.3450012,14.17000008,0,71
764824,Dockum,35.035,-102.0541667,2.350714286,Clay loam,628,1,2,3,670,906,1143,25,32.29999924,50,18,31.60000038,35,1.5,2.5,3,4,9,14,0.119999997,0.159999996,0.180000007,42,44,47,31,47,51,12,22,23,0.28,0.28,0,1,2,7.900000095,8.199999809,8.399999619,480.3450012,14.17000008,0,52
764929,Dockum,35.030833,-102.029444,2.121375,Sandy clay loam,604,3,4,5,670,1085,1158,25,49.59999847,70,18,29.60000038,35,0.100000001,0.200000003,0.5,4,9,14,0.079999998,0.119999997,0.170000002,34,39,43,26,36,41,9,16,18,0.28,0.28,1,3.099999905,5,7.900000095,8.199999809,9,479.947998,14.17000008,0,71
