WellID,LatDD,LonDD,predLR
625502,35.561112,-101.927222,0.510045738732946
641102,35.3525,-101.9916667,0.4402100705354616
641613,35.295,-101.8816667,0.5189855021459865
642901,35.2877778,-101.7513889,0.6352866825453216
650814,35.146389,-101.814445,0.6267467393445942
650902,35.146111,-101.759167,0.6307951265280626
651603,35.205278,-101.650834,0.6371530412430306
657717,35.010834,-101.978333,0.6492106492598748
658109,35.113334,-101.868333,0.7975927631337776
658702,35.027778,-101.845,0.4432289339124257
662203,35.118889,-101.311667,0.7614068390950718
663701,35.020833,-101.248056,0.5878439766481912
728401,35.544445,-102.601389,0.5662696008421099
730403,35.561667,-102.355001,0.5851738743120767
730908,35.5375,-102.288889,0.4321422249192649
738401,35.435556,-102.339445,0.7451073147658385
740502,35.446389,-102.062501,0.23635079015462832
743401,35.2944444,-102.7338889,0.6132331323190247
743605,35.291945,-102.656945,0.6857183339071131
747401,35.298889,-102.248889,0.5704559562315379
750702,35.1475,-102.865834,0.6974733500549912
752615,35.166944,-102.516112,0.7617406455537765
752902,35.127778,-102.502223,0.6986792065067013
764822,35.0297222,-102.045,0.7320454615442051
764823,35.03,-102.051945,0.6175002359101046
764824,35.035,-102.0541667,0.6100776994748525
764929,35.030833,-102.029444,0.7319395640958977
764930,35.029722,-102.033611,0.7319395640958977
864301,35.118889,-103.021111,0.7852032178495867
1001601,34.9530556,-102.9122222,0.6430054263944479
1002702,34.891945,-102.851945,0.714313624488161
1005226,34.968611,-102.442778,0.671645338503279
1006832,34.893611,-102.306945,0.7066188678765387
1013503,34.802501,-102.423333,0.6773706311247761
1013639,34.805556,-102.375278,0.7078882546561496
1014156,34.836389,-102.369722,0.7077124082856169
1014443,34.821389,-102.370555,0.7252757478924088
1015201,34.855001,-102.195278,0.6719789534948164
1015901,34.7722222,-102.1375,0.620740623872317
1016103,34.851945,-102.096389,0.6513097511133734
1016104,34.8425,-102.1213889,0.6390369813848935
1016702,34.7711111,-102.09,0.6198137079354955
